program,input,execution,time_ms
matrixMul.exe,binomial,1,2
matrixMul.exe,binomial,2,2
matrixMul.exe,binomial,3,2
matrixMul.exe,binomial,4,2
matrixMul.exe,binomial,5,4
matrixMul.exe,binomial,6,3
matrixMul.exe,binomial,7,2
matrixMul.exe,binomial,8,4
matrixMul.exe,binomial,9,2
matrixMul.exe,binomial,10,4
matrixMul.exe,binomial,11,4
matrixMul.exe,binomial,12,3
matrixMul.exe,binomial,13,2
matrixMul.exe,binomial,14,2
matrixMul.exe,binomial,15,2
matrixMul.exe,complete,1,3
matrixMul.exe,complete,2,3
matrixMul.exe,complete,3,2
matrixMul.exe,complete,4,3
matrixMul.exe,complete,5,4
matrixMul.exe,complete,6,3
matrixMul.exe,complete,7,3
matrixMul.exe,complete,8,3
matrixMul.exe,complete,9,3
matrixMul.exe,complete,10,3
matrixMul.exe,complete,11,3
matrixMul.exe,complete,12,3
matrixMul.exe,complete,13,3
matrixMul.exe,complete,14,3
matrixMul.exe,complete,15,3
matrixMul.exe,random1250,1,3
matrixMul.exe,random1250,2,2
matrixMul.exe,random1250,3,2
matrixMul.exe,random1250,4,3
matrixMul.exe,random1250,5,3
matrixMul.exe,random1250,6,4
matrixMul.exe,random1250,7,3
matrixMul.exe,random1250,8,3
matrixMul.exe,random1250,9,3
matrixMul.exe,random1250,10,3
matrixMul.exe,random1250,11,2
matrixMul.exe,random1250,12,2
matrixMul.exe,random1250,13,3
matrixMul.exe,random1250,14,4
matrixMul.exe,random1250,15,3
matrixMul.exe,random250,1,4
matrixMul.exe,random250,2,2
matrixMul.exe,random250,3,2
matrixMul.exe,random250,4,3
matrixMul.exe,random250,5,2
matrixMul.exe,random250,6,3
matrixMul.exe,random250,7,2
matrixMul.exe,random250,8,4
matrixMul.exe,random250,9,4
matrixMul.exe,random250,10,3
matrixMul.exe,random250,11,2
matrixMul.exe,random250,12,2
matrixMul.exe,random250,13,2
matrixMul.exe,random250,14,2
matrixMul.exe,random250,15,2
